OSEBuildingID,proportionparking,Proportionbat,old_built,PropertyGFATotal,NumberofBuildings,NumberofFloors,mean_GFA_per_floor,prop_gfa_largest_property,diff_prop_gfa_largest_property_per_type,SteamUse(kBtu)_pct,Electricity(kBtu)_pct,NaturalGas(kBtu)_pct,Longitude,Latitude,SiteEnergyUseWN(kBtu),SiteEUIWN(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,ENERGYSTARScore,BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_infrequent_sklearn,PrimaryPropertyType_Large Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility,PrimaryPropertyType_infrequent_sklearn,Neighborhood_lcaps_downtown,Neighborhood_lcaps_east,Neighborhood_lcaps_greater duwamish,Neighborhood_lcaps_lake union,Neighborhood_lcaps_magnolia / queen anne,Neighborhood_lcaps_northeast,Neighborhood_lcaps_northwest,Neighborhood_lcaps_infrequent_sklearn,LargestPropertyUseType_Non-Refrigerated Warehouse,LargestPropertyUseType_Office,LargestPropertyUseType_Other,LargestPropertyUseType_Retail Store,LargestPropertyUseType_Worship Facility,LargestPropertyUseType_infrequent_sklearn,BuildingType,PrimaryPropertyType,Neighborhood_lcaps,LargestPropertyUseType,BuildingType_cat,PrimaryPropertyType_cat,Neighborhood_lcaps_cat,LargestPropertyUseType_cat
1,0.0,1.0,89,88434,1.0,12,6802.615384615385,1.0,0.11454198215540679,0.2773016353180203,0.546059967657308,0.1766383970246716,-122.33799,47.6122,7456910.0,84.30000305,249.98,2.83,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,downtown,Hotel,0,2,3,10
2,0.1454531409922175,0.8545468590077825,20,103566,1.0,11,7375.166666666667,0.8099183129598517,-0.07553970488474149,0.0,0.38660907281925116,0.6133909271807488,-122.33393,47.61317,8664479.0,97.90000153,295.86,2.86,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,downtown,Hotel,0,2,3,10
5,0.0,1.0,90,61320,1.0,10,5574.545454545455,1.0,0.11454198215540679,0.3259134767389891,0.40751932798821766,0.2665671952727932,-122.33664,47.61412,6946800.5,113.3000031,286.43,4.67,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,downtown,Hotel,0,2,3,10
9,0.382349313378834,0.6176506866211661,17,97288,1.0,2,20030.0,0.9130622481703807,0.0,0.0,0.609884023783001,0.39011597621699906,-122.33657,47.61623,12581712.0,141.6000061,301.81,3.1,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nonresidential COS,Other,downtown,Police Station,1,8,3,36
10,0.0,1.0,90,83008,1.0,11,6917.333333333333,0.9800501156515035,0.09459209780691025,0.0,0.4881602835315374,0.5118397164684626,-122.33283,47.6139,6062767.5,74.5,176.14,2.12,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,downtown,Hotel,0,2,3,10
11,0.0,1.0,90,102761,1.0,8,11417.888888888889,1.0,0.11971788457197396,0.36142256817320634,0.577418171948009,0.061159259878784664,-122.33136,47.61327,7067881.5,68.80000305,221.51,2.16,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Other,downtown,Other - Entertainment/Public Assembly,0,8,3,24
24,0.0,1.0,109,57452,1.0,5,9575.333333333334,0.28618672979182624,-0.44332294462024124,0.23352383489197323,0.4949710076658864,0.2715051574421404,-122.33159,47.60515,7877219.0,137.1000061,273.02,4.75,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Mixed Use Property,downtown,Social/Meeting Hall,0,7,3,46
29,0.34524562037204265,0.6547543796279574,15,88592,1.0,6,8286.57142857143,0.6547543796279574,-0.23070363821663586,0.0,0.6185915020851451,0.38140849791485487,-122.31755,47.65959,3673186.75,63.29999924,90.01,1.02,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,northeast,Hotel,0,2,9,10
31,0.0,1.0,86,67224,1.0,2,22408.0,1.0,0.1284214949835869,0.0,1.0,0.0,-122.33081,47.615,1310236.625,19.5,9.13,0.14,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Other,downtown,Automobile Dealership,0,8,3,1
32,0.19096145604880385,0.8090385439511961,25,158676,1.0,8,14263.888888888889,0.7101010864907106,-0.17535693135388264,0.0,0.10741392914333418,0.8925860708566659,-122.32929,47.61301,5424942.0,46.29999924,256.57,1.62,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,east,Hotel,0,2,4,10
